Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Prop0 Loss,aflow__agl_thermal_conductivity_300K,aflow__agl_thermal_conductivity_300K UNC,Prop1 Loss
"['Ca', 'Al', 'Si', 'W']",[0.04109918 0.02438786 0.02896619 0.9055461 ],177.2606201171875,9.453898429870605,99998.984375,4.251967430114746,0.8610327839851379,99999.7734375
"['Ca', 'Al', 'Si', 'W']",[0.04039156 0.023876   0.02841658 0.90731525],177.41571044921875,9.44040298461914,99998.984375,4.243051052093506,0.8585360050201416,99999.7734375
"['Ca', 'Al', 'Si', 'W']",[0.03970646 0.02338326 0.02788564 0.90902406],177.56454467773438,9.427401542663574,99998.984375,4.234434127807617,0.8561599254608154,99999.7734375
"['Ca', 'Al', 'Si', 'W']",[0.03904295 0.0229087  0.02737254 0.9106752 ],177.70767211914062,9.414071083068848,99998.984375,4.226163864135742,0.8538819551467896,99999.7734375
"['Ca', 'Al', 'Si', 'W']",[0.03840013 0.02245149 0.02687656 0.9122712 ],177.845703125,9.40124225616455,99998.9765625,4.218110084533691,0.8516862988471985,99999.7734375
"['Ca', 'Al', 'Si', 'W']",[0.03777696 0.02201071 0.02639678 0.91381496],177.9794921875,9.388882637023926,99998.9765625,4.210295677185059,0.8495614528656006,99999.7734375
"['Ca', 'Al', 'Si', 'W']",[0.03717221 0.02158528 0.02593209 0.91530985],178.10897827148438,9.37700080871582,99998.9765625,4.202665328979492,0.8475058674812317,99999.7734375
"['Ca', 'Al', 'Si', 'W']",[0.0365851  0.02117443 0.02548181 0.91675806],178.23416137695312,9.36557674407959,99998.9765625,4.195301055908203,0.8455227613449097,99999.7734375
"['Ca', 'Al', 'Si', 'W']",[0.03601483 0.02077751 0.02504527 0.91816187],178.35540771484375,9.354601860046387,99998.96875,4.188177108764648,0.8436108231544495,99999.7734375
"['Ca', 'Al', 'Si', 'W']",[0.03595908 0.02073886 0.02500265 0.91829884],178.36720275878906,9.353521347045898,99998.96875,4.187481880187988,0.8434243202209473,99999.7734375
"['Ca', 'Al', 'Si', 'W']",[0.03590414 0.02070085 0.02496067 0.9184338 ],178.37884521484375,9.352460861206055,99998.96875,4.186798095703125,0.8432412147521973,99999.7734375
"['Ca', 'Al', 'Si', 'W']",[0.03584993 0.02066342 0.02491927 0.91856676],178.39031982421875,9.351412773132324,99998.96875,4.186123847961426,0.843060314655304,99999.7734375
"['Ca', 'Al', 'Si', 'W']",[0.03579637 0.02062651 0.02487838 0.9186982 ],178.4016571044922,9.35037612915039,99998.96875,4.185458660125732,0.8428824543952942,99999.7734375
