Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Prop0 Loss,aflow__agl_thermal_conductivity_300K,aflow__agl_thermal_conductivity_300K UNC,Prop1 Loss
"['Ca', 'Al', 'Si']",[0.06162352 0.01699565 0.92138046],87.85590362548828,6.831920146942139,100000.328125,5.009089469909668,1.0319249629974365,99999.84375
"['Ca', 'Al', 'Si']",[0.05601629 0.01581462 0.9281688 ],88.41716766357422,6.968038082122803,100000.3203125,4.979425430297852,1.0212757587432861,99999.84375
"['Ca', 'Al', 'Si']",[0.05105668 0.01474762 0.93419534],88.9057846069336,7.0890889167785645,100000.3125,4.954366207122803,1.0120844841003418,99999.84375
"['Ca', 'Al', 'Si']",[0.04667513 0.01378493 0.9395396 ],89.33740234375,7.196160316467285,100000.3046875,4.933148384094238,1.0043028593063354,99999.84375
"['Ca', 'Al', 'Si']",[0.04280014 0.01291597 0.94428355],89.72177124023438,7.286824703216553,100000.296875,4.914683818817139,0.9975779056549072,99999.8359375
"['Ca', 'Al', 'Si']",[0.03937103 0.01213143 0.94849724],90.05937194824219,7.367386817932129,100000.296875,4.898453235626221,0.991780161857605,99999.8359375
"['Ca', 'Al', 'Si']",[0.03633454 0.01142309 0.9522421 ],90.35769653320312,7.438900470733643,100000.2890625,4.884247303009033,0.9865912199020386,99999.8359375
"['Ca', 'Al', 'Si']",[0.03363971 0.01078252 0.95557743],90.62598419189453,7.502146244049072,100000.28125,4.871501922607422,0.9819220304489136,99999.8359375
"['Ca', 'Al', 'Si']",[0.03124372 0.01020251 0.95855343],90.86420440673828,7.555601596832275,100000.28125,4.860191345214844,0.9778833389282227,99999.8359375
"['Ca', 'Al', 'Si']",[0.02910946 0.00967656 0.96121365],91.07562255859375,7.603195667266846,100000.28125,4.850080490112305,0.9743034839630127,99999.8359375
"['Ca', 'Al', 'Si']",[0.02720447 0.00919889 0.96359634],91.26361083984375,7.645907402038574,100000.2734375,4.840974807739258,0.9710688591003418,99999.828125
"['Ca', 'Al', 'Si']",[0.02550051 0.0087644  0.9657348 ],91.43009948730469,7.684403896331787,100000.2734375,4.832695007324219,0.9681165814399719,99999.828125
"['Ca', 'Al', 'Si']",[0.02397329 0.00836872 0.96765774],91.57711029052734,7.719145774841309,100000.2734375,4.82517671585083,0.9654780626296997,99999.828125
"['Ca', 'Al', 'Si']",[0.02260122 0.00800772 0.96939075],91.70960998535156,7.750494480133057,100000.265625,4.818437576293945,0.963143527507782,99999.828125
"['Ca', 'Al', 'Si']",[0.02136544 0.00767771 0.97095656],91.82937622070312,7.778814315795898,100000.265625,4.812349319458008,0.9610401391983032,99999.828125
"['Ca', 'Al', 'Si']",[0.02024914 0.0073753  0.97237533],91.93797302246094,7.804427623748779,100000.265625,4.806779861450195,0.9591363668441772,99999.828125
"['Ca', 'Al', 'Si']",[0.01923816 0.00709761 0.973664  ],92.03645324707031,7.827807426452637,100000.265625,4.801738739013672,0.957438051700592,99999.828125
"['Ca', 'Al', 'Si']",[0.01832031 0.00684212 0.9748373 ],92.12580108642578,7.849254131317139,100000.265625,4.797143936157227,0.9559012055397034,99999.828125
"['Ca', 'Al', 'Si']",[0.0174849  0.00660657 0.97590834],92.2069320678711,7.868800640106201,100000.2578125,4.792937755584717,0.954501748085022,99999.828125
"['Ca', 'Al', 'Si']",[0.01672287 0.00638901 0.97688794],92.28070068359375,7.886647701263428,100000.2578125,4.7890825271606445,0.9532252550125122,99999.828125
"['Ca', 'Al', 'Si']",[0.01602602 0.00618762 0.9777862 ],92.3485107421875,7.9030537605285645,100000.2578125,4.785557270050049,0.9520605206489563,99999.828125
"['Ca', 'Al', 'Si']",[0.01538706 0.00600081 0.9786119 ],92.41081237792969,7.918132781982422,100000.2578125,4.782320022583008,0.9509952068328857,99999.828125
"['Ca', 'Al', 'Si']",[0.0147998  0.00582717 0.97937286],92.46783447265625,7.932014465332031,100000.2578125,4.779345989227295,0.9500196576118469,99999.828125
"['Ca', 'Al', 'Si']",[0.01425903 0.00566554 0.98007524],92.52012634277344,7.944816589355469,100000.2578125,4.776636123657227,0.9491268992424011,99999.828125
"['Ca', 'Al', 'Si']",[0.01376004 0.00551483 0.98072493],92.56816864013672,7.956591606140137,100000.2578125,4.774143218994141,0.9483073949813843,99999.828125
"['Ca', 'Al', 'Si']",[0.01329856 0.00537401 0.98132724],92.61253356933594,7.9674296379089355,100000.2578125,4.7718305587768555,0.9475496411323547,99999.828125
"['Ca', 'Al', 'Si']",[0.01287078 0.0052422  0.98188686],92.65365600585938,7.97750186920166,100000.2578125,4.769683361053467,0.9468460083007812,99999.828125
"['Ca', 'Al', 'Si']",[0.01247336 0.00511856 0.98240787],92.69188690185547,7.9868950843811035,100000.25,4.7676849365234375,0.9461897015571594,99999.828125
"['Ca', 'Al', 'Si']",[0.01210337 0.0050024  0.98289406],92.72735595703125,7.995651721954346,100000.25,4.765821933746338,0.9455816745758057,99999.828125
"['Ca', 'Al', 'Si']",[0.01175822 0.00489306 0.98334855],92.76045989990234,8.003829956054688,100000.25,4.7640790939331055,0.9450160264968872,99999.828125
"['Ca', 'Al', 'Si']",[0.01143558 0.00478995 0.9837743 ],92.79130554199219,8.011499404907227,100000.25,4.762445449829102,0.9444869160652161,99999.828125
