Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Prop0 Loss,aflow__agl_thermal_conductivity_300K,aflow__agl_thermal_conductivity_300K UNC,Prop1 Loss
"['Ca', 'Si', 'Al', 'O']",[0.01083791 0.42672396 0.0359708  0.52646685],117.9582290649414,9.180408477783203,99999.875,6.138641357421875,1.1667112112045288,99999.953125
"['Ca', 'Si', 'Al', 'O']",[0.01039516 0.43189588 0.03438342 0.5233251 ],118.05534362792969,9.182364463806152,99999.875,6.131305694580078,1.159653663635254,99999.953125
"['Ca', 'Si', 'Al', 'O']",[0.00996875 0.43875986 0.03287208 0.51839894],118.11492919921875,9.18039321899414,99999.875,6.115300178527832,1.1503112316131592,99999.953125
"['Ca', 'Si', 'Al', 'O']",[0.00955937 0.4468322  0.03142985 0.5121781 ],118.13098907470703,9.176338195800781,99999.875,6.091677188873291,1.1395925283432007,99999.9453125
"['Ca', 'Si', 'Al', 'O']",[0.00916773 0.45568755 0.03005174 0.50509256],118.07095336914062,9.171245574951172,99999.875,6.05828332901001,1.127138376235962,99999.9453125
"['Ca', 'Si', 'Al', 'O']",[0.00879596 0.46471262 0.0287398  0.49775124],117.95045471191406,9.165224075317383,99999.875,6.018489837646484,1.1142230033874512,99999.9453125
"['Ca', 'Si', 'Al', 'O']",[0.00844223 0.4738413  0.02748257 0.49023345],117.76333618164062,9.152870178222656,99999.875,5.97207498550415,1.1007909774780273,99999.9375
"['Ca', 'Si', 'Al', 'O']",[0.00811047 0.48227298 0.02628911 0.483327  ],117.53530883789062,9.137653350830078,99999.8828125,5.921127796173096,1.0872294902801514,99999.9296875
"['Ca', 'Si', 'Al', 'O']",[0.00779983 0.4899187  0.02515973 0.4771214 ],117.28279113769531,9.120612144470215,99999.8828125,5.867450714111328,1.0735124349594116,99999.9296875
"['Ca', 'Si', 'Al', 'O']",[0.0075076  0.49704835 0.02408877 0.47135487],117.00096893310547,9.10386848449707,99999.890625,5.804542064666748,1.0565593242645264,99999.921875
"['Ca', 'Si', 'Al', 'O']",[0.00722247 0.5052865  0.02304454 0.46444613],116.6229019165039,9.076342582702637,99999.8984375,5.706406116485596,1.0304679870605469,99999.9140625
"['Ca', 'Si', 'Al', 'O']",[0.00692224 0.5181226  0.02196267 0.4529921 ],115.93173217773438,9.027231216430664,99999.90625,5.489438056945801,0.9744389057159424,99999.890625
"['Ca', 'Si', 'Al', 'O']",[0.0065833  0.54031616 0.02076715 0.43233302],114.64861297607422,8.888321876525879,99999.921875,4.88390588760376,0.8206768035888672,99999.8359375
"['Ca', 'Si', 'Al', 'O']",[0.00621037 0.57218516 0.01946144 0.40214273],112.56832885742188,8.43701457977295,99999.953125,4.354028224945068,0.6530494689941406,99999.7890625
