formula,target
FeKSe2,0.14
O4SiZr,3.42
Ge2K2O6Zn,96.83
Al4Na4P12Sr8,8.36
MgBiLi,2781.61
Hg4Se6Si,647.14
InS2Tl,2.82
AlN,1185.96
As2CdSi,6636.69
As2Mg3,1912.08
CrNaO8W2,0.29
HfS2,0.18
Al2As4Sr3,50.95
AsS2Li,3.92
GaTe,5.46
S4FeCu2Sn,946.35
MgSiSr,84.2
S2Ti,0.21
Al2CdS4,260.25
O2Si,224.93
O2Zr,36.62
Ba4S10Zr3,71.59
CdIn2Se4,609.91
Cu2HfTe3,3.99
KTeCu,261.74
Ca3Ga2P4,42.92
O9Si3Sr3,92.95
ZnSe,2406.37
GeTe,123.25
CuNaTe3Zr,7.19
S3SbTl3,6.62
La2MoO6,0.19
Bi2In4S9,3.52
PbS,30.33
CaO3Sn,2302.54
CuInO8W2,2.11
O2RbSc,36.75
Na2S,175.46
GaKSb4,106.91
Au3O2Rb5,7.87
S5Sn2Tl2,9.1
NaSb,37.05
Cu3NaTe2,1481.7
InS2Tl,2.05
O2Rb2,5.87
MgSc2Se4,43.99
InK3P2,180.56
BaS3Sn,11.06
K2Mo3Se18,1.58
CaO3Zr,21.29
CuNaSe,1398.11
Ba3P4,7.75
S4BaAg2Sn,235.56
Cu8K4Te11,2.45
IAg,761.21
Se2GaAg,1954.11
NiO,9.63
Cu2SiTe4Zn,660.21
O2Si,231.66
GeS2,3.77
O2Si,3004.95
AlLaO3,0.22
AlCdLa3S7,1.73
Ba2Ge2MgO7,170.35
CaS4Sc2,25.58
MnTe,2.35
O4SiSr2,218.48
GeNa2O4Zn,295.79
LiNaS,4.44
BaCaGa4O8,332.5
As4Si2Sr3,37.14
CaN6,7.77
K2O3Ti,2.04
Bi3KS5,3.99
Al2MgSe4,20.4
RbS2Sb,0.68
Al2CaO4,417.6
GaNaO6Si2,332.35
Al2Na6Se6,204.99
NaAsMn,65.65
Al4O7Sr,183.96
CaO6V2,0.29
CdS2,1.39
CdO3Ti,33.99
CoBr2,0.01
Ba2O8Si2Ti,0.54
MgO,1250.13
B2BaS4,5.85
AlNaO2,255.01
GaInO5Zn2,2688.82
O3Rb2Sn2,12.08
MnO,2926.7
GeC,305.71
Rb2S3,2.15
CaO3Ti,48.74
O2Si,3.29
ZnLiN,3969.62
O3Y2,62.14
Al2O5Si,912.65
KMnBi,506.02
GaS6Y3,11.8
S4BaFe2,2.0
S2Ti,29.29
NNaSn,608.93
BeLiP,110.53
CdS4Y2,7.46
Ba3Ga2S6,5.89
HgRb6Se4,39.53
In3S5Tl,3.34
CdO2Rb2,109.26
Cs2S3,1.24
Ga2SrTe4,115.85
Al2HgSe4,7627.13
Cr2Se3,3.33
S3SnZr,1.27
Co2Nb4PdSe12,0.19
Cu2Se,1363.24
O2Ti,50.25
MgNaSb,29.83
Al4CaO7,268.96
Hg6O7Si2,3.81
FeK3Se3,0.18
InK2NaSb2,244.59
O7Sr3Zr2,77.48
K2O6Si2Zn,99.8
NaP,18.52
Al2HgSe4,7677.42
CrNaSe2,23.59
Al2O5Si,1111.63
KNbSe2,7.6
CdP2,19.33
Ni3Rb2Se4,0.46
ITeBi,2.23
O2Si,38.15
MgNa2O4Si,201.12
AuK5P2,80.96
In2Li2S6Si,3.11
MnSe,7.07
BaS2,5.26
As2BaCd2,639.14
Al2MgO4,691.89
MoRb2Se4,1.62
N3Na,1.27
SiC,989.4
Br6SnRb2,6.51
In4O7Rb2,626.4
K2MnTe2,24.95
La2O3,4.42
Cu2Se3Sn,614.6
KLaSe4Si,0.15
HfO3Sr,100.27
GeP,1.76
Al2Ca2O5,325.6
GaN,3973.66
K4P6,2.41
Ba2InSe5Y,143.75
AsCaRb,127.01
MgAsLi,84.81
K3Sb,237.09
Ag3AuTe2,95.19
Si,124.37
GeSe4BaAg2,608.58
CuO2Rb3,11.14
Al2Mg2Se5,43.82
GaS2Tl,10.48
CdNa2S4Sn,57.71
K2S2Pt,3.44
AlKO4Si,103.98
AlP,127.5
Cu3Te4V,4.52
Ge2Na6S7,33.54
CdS4Y2,261.48
ZnAsLi,3761.84
BaN2Si,12.15
AgNbRb2Se4,0.32
AsGa,13077.95
MgO3Ti,1.16
AuNSr2,18.13
Cs2S4Zn3,3.35
TeCd,4788.45
AuRbSe,3.06
As4Sn3,703.74
Ag4K2Se3,298.84
BaO2,36.62
BaCuLaSe3,17.09
Na4O4Pb,106.57
MnNa6Se4,175.2
ICu,258.08
CaGe2O5,585.09
Hf2O7Y2,189.32
